,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,42,43,44,45,46,47,48,49,5,50,51,52,53,6,7,8,9,malla,transplant_day,transplant_week
7,0,2030.6,3527.2,2096.8,957.4,3359.2,1372.6,1173.4,1062,514.8,1587.6,0,96,732.8,363.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4065.8,MALLA_4_A_2DA,392,52
8,0,0,0,0,1317.2,2096.6,2347.2,2524,2229,1592.2,1815,0,1306.4,818,558.8,912,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,MALLA_7_A_2DA,424,62
9,0,1854.8421052632,5110.8947368421,4118.3684210526,2343.8421052632,3305.8947368421,4075.3684210526,3018.6842105263,4365.4736842105,3714.6842105263,2249.2105263158,0,1592.052631579,2082.6842105263,960.7368421053,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1036.2105263158,751.0526315789,3033.7894736842,MALLA_3_I,354,51
10,1358.8333333333,978.2222222222,2968.2222222222,4030.5555555556,3148.4444444445,1966.4444444445,2044.4444444445,1337.1666666667,1309.8333333333,547.8888888889,0,1975.9444444445,0,0,0,0,,1140.6666666667,1924.5555555556,0,0,0,0,0,0,0,0,4206.8888888889,0,0,884.8888888889,,3032.8333333333,1538.0555555556,1432.5,2516.8333333333,MALLA_3_G,305,44
11,0,2038.2777777778,4856.7777777778,3520.7777777778,1724.7777777778,3848.1111111111,1564.3333333333,1803.2777777778,2368.3888888889,1498.8888888889,2123.1666666667,0,1976.1111111111,1503.6666666667,280.9444444444,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2615.6111111111,MALLA_4_G,375,53
12,1781.5833333333,1935.3333333333,1308,5692.9166666667,1265.5,2762.0833333333,1147.4166666667,1864.3333333333,130.3333333333,0,0,1862.8333333333,0,0,0,0,,1764.3333333333,1701,0,0,0,0,0,0,0,0,2412.6666666667,461.6666666667,876.9166666667,2163,,3113.3333333333,1739,1881.3333333333,3192.75,MALLA_4_I,273,39
13,0,2102.6666666667,3992.7222222222,2839,2761.7222222222,4916.3888888889,4394.6666666667,2855.1111111111,2057.4444444445,2502.2222222222,2127.1111111111,0,1346.9444444445,0,0,0,,0,441.2222222222,0,0,0,0,0,0,0,0,2625.8333333333,0,0,0,,2817.5,1653.8333333333,1999.3888888889,2924.6111111111,MALLA_1_I,339,49
14,0,1141.4444444445,2431.7222222222,3269.8333333333,1135,2990.2222222222,3305.2777777778,2730.6111111111,1644.9444444445,1687.5555555556,1503.4444444445,0,433.0555555556,195.7222222222,0,0,,0,0,0,0,0,0,0,0,0,0,1117.8333333333,0,0,0,,1112.5,1088.5,1007.3333333333,3057.2222222222,MALLA_2_I,349,50
0,809.8,0,0,0,0,0,0,0,0,0,0,991,0,0,,,,66.6,1278.6,,948,2692.2,1865.6,1680.4,2686,2093.4,2185.6,1033.4,2186.2,1188.6,1880.4,2536,0,699.6,0,0,MALLA_9_A,258,38
1,1310.4,0,0,0,0,0,0,0,0,0,0,786.8,0,0,,,,0,1161.8,,638.2,2322.8,2521.6,1710.4,2033.4,2258.2,2631.8,1247.2,2634.8,1369.6,1341,1727,0,0,0,0,MALLA_8_A,263,39
2,2583.6,0,0,0,0,0,0,0,0,0,0,482.8,0,0,,,,845.2,1634.4,,0,1769,2562.4,1403.8,2014.6,2098.8,1838,58.4,2128,1471.4,1370,1457.4,116.6,733,0,531.2,MALLA_7_A,263,39
3,1129.2,1218.2,819.4,0,390.4,0,0,0,0,0,0,1428.2,0,0,,,,2556.2,2160.6,,0,0,0,2191.8,1288.8,1795,2545.4,946,1982.2,1399.2,2343,1234,1074.2,876.8,82.8,2358.8,MALLA_3_A,274,40
4,1428,1366,991,1832,583,0,0,0,0,0,0,2699.4,0,0,,,,2885.6,2095.6,,0,0,0,0,0,2489,1049.4,1830.2,1599.8,2476.4,1573.6,619.2,2757.2,1049.4,2367.8,1659.6,MALLA_2_A,288,42
